,Rank,Name,Revenue($m),Profit($m),Assets($m),Market_Value($m),Employees,URL
421,422,Fortive,7326.1,738.9,17439,18566.8,25000,#N/A
422,423,UGI,7320.4,256.2,13346.6,5562,12800,http://www.ugicorp.com
423,424,Burlington Stores,7286.4,465.1,5593.9,10441.3,47000,#N/A
424,425,Builders FirstSource,7280.4,221.8,3249.5,1420.3,15800,#N/A
425,426,Toll Brothers,7224,590,10828.1,2439.6,5100,http://www.tollbrothers.com
426,427,Old Republic International,7213.7,1056.4,21076.3,4634.9,9000,http://www.oldrepublic.com
427,428,Asbury Automotive Group,7210.3,184.4,2911.3,1064.8,8500,#N/A
428,429,Arthur J. Gallagher,7195,668.8,19634.8,15454.9,33247,#N/A
429,430,MasTec,7183.2,392.3,4997,2506.6,21000,http://www.mastec.com
430,431,Owens Corning,7160,405,10006,4200.9,19000,http://www.owenscorning.com
431,432,Magellan Health,7159.4,55.9,3092.2,1188.2,10100,http://www.magellanhealth.com
432,433,Dover,7136.4,677.9,8669.5,12094.4,24000,#N/A
433,434,Beacon Roofing Supply,7105.2,-10.6,6392.8,1138,8147,#N/A
434,435,Avery Dennison,7070.1,303.6,5488.8,8485.4,30000,#N/A
435,436,Hanesbrands,6966.9,600.7,7354,2816.5,63000,#N/A
436,437,Packaging Corp. of America,6964.3,696.4,7235.8,8235.8,15500,http://www.packagingcorp.com
437,438,M&T Bank,6941.3,1929.1,119872.8,13440.8,17386,http://www.biomet.com
438,439,NCR,6915,564,8987,2287,36000,http://www.ncr.com
439,440,Northern Trust,6895.1,1492.2,136828.4,15791.3,19800,http://www.northerntrust.com
440,441,Cintas,6892.3,885,7436.7,18023.6,45000,#N/A
441,442,Polaris,6863.4,324,4430.5,2959,14000,http://www.pnc.com
442,443,CMS Energy,6845,680,26837,16697.2,8459,#N/A
443,444,Seaboard,6840,283,6285,3273.8,13100,http://www.seaboardcorp.com
444,445,Intuit,6784,1557,6283,59912.6,9400,http://www.intuit.com
445,446,Regions Financial,6755,1582,126240,8587.8,19564,http://www.regions.com
446,447,FM Global,6743.1,2479.3,25053.8,-,5591,#N/A
447,448,Advanced Micro Devices,6731,341,6028,53250.4,11400,#N/A
448,449,Ovintiv,6726,234,21487,701.5,2571,http://www.outerwall.com
449,450,Booz Allen Hamilton Holding,6704,418.5,3831.8,9624.3,26100,#N/A
450,451,S&P Global,6699,2123,11348,59042.2,22500,http://www.ryland.com
451,452,Rockwell Automation,6694.8,695.8,6113,17533.3,23000,http://www.rockwellautomation.com
452,453,O-I Glass,6691,-400,9610,1108.5,27500,http://www.nvrinc.com
453,454,Wynn Resorts,6611.1,123,13871.3,6471.4,30200,http://www.wynnresorts.com
454,455,Securian Financial Group,6600.6,434.8,63138.3,-,6400,http://www.securian.com
455,456,Alliance Data Systems,6580.9,278,26494.8,1602.7,8500,#N/A
457,457,Brighthouse Financial,6554,-740,227259,2540.2,1330,#N/A
456,457,Weyerhaeuser,6554,-76,16406,12636.5,9400,http://www.weyerhaeuser.com
458,459,Intercontinental Exchange,6547,1933,94493,44342.9,5989,http://www.theice.com
459,460,American Axle & Manufacturing,6530.9,-484.5,6644.6,408.1,20000,#N/A
460,461,Hess,6510,-408,21782,10163.6,1775,#N/A
461,462,ABM Industries,6498.6,127.4,3692.6,1623.1,140000,#N/A
462,463,Activision Blizzard,6489,1503,19845,45753.3,9200,#N/A
463,464,GameStop,6466,-470.9,2819.7,225.6,30000,#N/A
464,465,Apache,6411,-3553,18107,1577.2,3163,#N/A
465,466,Science Applications International,6379,226,4711,4316.9,24311,http://www.saic.com
466,467,AK Steel Holding,6359.4,11.2,4590.6,-,9300,#N/A
467,468,Dillard's,6343.2,111.1,3430.3,863.8,30400,#N/A
468,469,Ralph Lauren,6313,430.9,5942.8,4928.3,18650,http://www.ralphlauren.com
469,470,Celanese,6297,852,9476,8775,7714,#N/A
470,471,R.R. Donnelley & Sons,6276.2,-93.2,3330.1,68,36400,http://www.rrdonnelley.com
471,472,Zoetis,6260,1500,11545,55895,10600,http://www.zoetis.com
472,473,Ascena Retail Group,6242.8,-661.4,2699.8,13.9,33000,#N/A
473,474,Clorox,6214,820,5116,21673.5,8800,#N/A
474,475,Ingredion,6209,413,6040,5049.6,11000,#N/A
475,476,First American Financial,6202.1,707.4,11519.2,4790.6,18412,#N/A
476,477,Graphic Packaging Holding,6160.1,206.8,7289.9,3542,18000,#N/A
478,478,HD Supply Holdings,6146,452,4715,4605.3,11500,#N/A
477,478,NetApp,6146,1169,8741,9220.9,10500,http://www.netapp.com
479,480,TravelCenters of America,6117.4,33.3,3230.9,81.2,18594,http://www.ta-petrol.com
480,481,Olin,6110,-11.3,9187.8,1841.8,6500,http://www.olin.com
481,482,Robert Half International,6074.4,454.4,2311.4,4345.8,16000,http://www.roberthalf.com
482,483,EnLink Midstream,6052.9,-1119.3,9335.8,537.3,1355,#N/A
483,484,Avantor,6040.3,37.8,9773.3,7155.6,12000,#N/A
484,485,Tapestry,6027.1,643.4,6877.3,3574.6,17400,http://www.take2games.com
485,486,TD Ameritrade Holding,6016,2208,43786,18738.8,9226,http://www.amtd.com
486,487,Analog Devices,5991.1,1363,21392.6,33010.9,16400,#N/A
487,488,Ameren,5910,828,28933,17969.9,9323,#N/A
488,489,Williams-Sonoma,5898,356.1,4054,3282.4,19300,http://www.williams-sonomainc.com
489,490,Realogy Holdings,5870,-188,7543,346.9,10150,http://www.realogy.com
490,491,Commercial Metals,5829,198.1,3758.8,1880,11524,#N/A
491,492,Rush Enterprises,5809.8,141.6,3407.3,1145.6,7244,http://www.rushenterprises.com
492,493,Franklin Resources,5774.5,1195.7,14532.2,8293.2,9597,#N/A
493,494,Fortune Brands Home & Security,5764.6,431.9,6291.3,6042.3,24700,#N/A
494,495,Levi Strauss,5763.1,394.6,4232.4,4961.2,15800,http://www.levistrauss.com
495,496,Crown Castle International,5763,860,38457,60178.6,5100,#N/A
496,497,Simon Property Group,5755.2,2101.6,31231.6,16834.8,3750,http://www.simon.com
497,498,Cerner,5692.6,529.5,6894.6,19164.4,27400,#N/A
498,499,Post Holdings,5681.1,124.7,11951.6,5732,10100,http://www.postholdings.com
499,500,Huntington Bancshares,5655,1411,109002,8398.6,15664,#N/A
500,501,KBR,5639,202,5364,2942.6,28000,#N/A
501,502,Sprouts Farmers Market,5634.8,149.6,2723,2185.1,30000,http://www.sprouts.com
502,503,LPL Financial Holdings,5624.9,559.9,5880.2,4305.4,4343,http://www.lpl.com
503,504,T. Rowe Price,5617.9,2131.3,9330.4,22788.1,7365,http://www.troweprice.com
504,505,Yum Brands,5597,1294,5231,20615.4,34000,http://www.yum.com
505,506,Chipotle Mexican Grill,5586.4,350.2,5104.6,18171.4,83000,#N/A
506,507,Patterson,5574.5,83.6,3269.3,1464.9,7800,http://www.pattersoncompanies.com
507,508,RPM International,5564.6,266.6,5441.4,7721.1,14957,http://www.rpminc.com
508,509,Equinix,5562.1,507.5,23965.6,53365.7,8378,#N/A
509,510,Navient,5529,597,94903,1465.5,5800,http://www.navient.com
510,511,Chemours,5526,-52,7258,1455.9,7000,#N/A
511,512,ON Semiconductor,5517.9,211.7,8425.5,5113.7,34800,http://www.onsemi.com
512,513,TransDigm Group,5517.2,889.8,16254.7,17190.3,18300,http://www.transdigm.com
513,514,Host Hotels & Resorts,5469,920,12305,7792.9,175,#N/A
514,515,Select Medical Holdings,5453.9,148.4,7340.3,2014.7,42800,http://www.selectmedicalholdings.com
515,516,Par Pacific Holdings,5401.5,40.8,2700.6,380.6,1408,http://www.parpacific.com/
